"price","share","xvar","wvar","prodid","firmid","mktid"
2.60667504563347,0.227237015005788,2.2021341615705,-0.273457473411186,5,1,1
3.78329591091765,0.0159464352958725,2.75576099871947,0.164739508879393,7,2,1
2.49817527265474,0.175230807744513,1.95267048079345,-0.370695278085047,8,2,1
2.39605122640531,0.149334358817783,1.86060561659131,-0.561296678959429,14,3,1
2.6830334835951,0.179254349320237,2.31797519903504,-0.640420692496889,16,4,1
2.97944268550617,0.0354004694636922,1.85787353929196,0.0557920781424837,17,4,1
2.31020864921065,0.0468817864644528,0.671772289547612,-0.431524441761028,18,4,1
1.93432195951208,0.409147623139129,2.68547922357333,-0.564728324832749,1,1,2
3.44111700375526,0.0023977058652653,2.75576099871947,-0.626923432790843,7,2,2
2.67964380711479,0.0522143169112634,3.00921185693852,-0.616621329407686,9,2,2
2.43006988478988,0.0701178967338144,2.65243482711174,0.338161316840545,11,3,2
2.43066750297355,0.12801782498972,3.14332269635055,0.162293843158387,12,3,2
1.73379357754485,0.291040431643345,2.31797519903504,-1.28690971404998,16,4,2
3.61212836926503,0.000307553288725294,1.85787353929196,0.70359029912185,17,4,2
2.84495441431676,0.0820081148143536,2.68547922357333,-0.148086566815192,1,1,3
3.61204795589533,0.00150231063612428,1.95267048079345,0.369253564146758,8,2,3
4.16648020352541,0.00144498167286085,3.00921185693852,0.214117667609686,9,2,3
3.80351372439402,0.00366975102535314,2.65243482711174,1.01278613862163,11,3,3
2.78996205074683,0.234271901231292,3.14332269635055,-0.126529283355423,12,3,3
2.01243976557697,0.203938978632533,1.93333933180317,-0.626037138590295,15,3,3
2.46349176784676,0.369713741650581,2.6600566728651,-0.23781937762872,20,4,3
3.08263182790383,0.140922682830633,2.68547922357333,0.481880563673591,1,1,4
3.32630474958788,0.00976775909682586,1.71765091430196,0.616252564702576,2,1,4
4.15745512924144,0.00147624600484842,2.31643130248052,-0.0785763316257254,4,1,4
4.26506582612573,0.000440156050825549,1.94693774195426,0.216808607662868,6,2,4
4.44750816033564,0.00220648061778236,3.00921185693852,0.323028796029942,9,2,4
2.48325436949176,0.498374765254989,2.65243482711174,-0.498901094001301,11,3,4
5.05075270879825,4.41102513655282e-05,1.86060561659131,0.795168277477588,14,3,4
2.9009687797971,0.115286217131355,2.31797519903504,-0.721385193019033,16,4,4
3.77839599149355,0.00194905017133966,1.85787353929196,0.215826174200521,17,4,4
2.71087590442543,0.0195971397711282,0.671772289547612,0.28286516589753,18,4,4
2.63349732212266,0.011679549012574,0.77976653571224,0.218622260331642,19,4,4
2.41547095859707,0.0769752387217229,1.71765091430196,0.0599167392004448,2,1,5
2.64766074231618,0.149466247832851,2.2021341615705,-0.089057695521983,5,1,5
4.56871403906304,0.00010049333282186,1.94693774195426,0.250892391592486,6,2,5
3.77589254339557,0.0130972124490045,2.75576099871947,0.00935729880931611,7,2,5
2.12544664685688,0.199226366726809,1.95267048079345,-0.612460288971493,8,2,5
